foodid,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
236,Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non_vegetarian,20,40,spicy,main course,Assam,North East
237,Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non_vegetarian,15,30,-1,main course,West Bengal,East
238,Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non_vegetarian,-1,-1,spicy,main course,West Bengal,East
239,Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,-1,-1,spicy,main course,Assam,North East
240,Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non_vegetarian,-1,-1,spicy,main course,Assam,North East
241,Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non_vegetarian,-1,-1,spicy,main course,Assam,North East
242,Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non_vegetarian,-1,-1,spicy,main course,Assam,North East
243,Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non_vegetarian,-1,-1,spicy,main course,Assam,North East
244,Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,West Bengal,East
245,Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,-1,-1,-1,main course,Odisha,East
246,Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,-1,main course,Assam,North East
247,Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,-1,-1,sweet,dessert,Assam,North East
248,Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non_vegetarian,15,50,spicy,main course,West Bengal,East
249,Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,-1,-1,-1,main course,-1,-1
250,Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East
251,Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,Assam,North East
252,Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West
253,Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,-1,-1,sweet,dessert,Jammu & Kashmir,North
254,Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,sweet,dessert,Madhya Pradesh,Central
255,Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,-1,-1,sweet,dessert,Goa,West
